no,company_name(Required),website_address,Companynumber(Add second phone number after semicolon),Companyemail(Add second email  after semicolon),vendor_type,industry,type_business,Client_Salutation_Name,Client_First_Name(Required),Client_Last_Name,Linkedin URL,Client_Designation,Client_Phone(Add second phone number after semicolon),Client_Phone_Type(Add second phone type after semicolon),Client_Mail(Add second email after semicolon),Client_Email_Type(Add second email type after semicolon),house_no,street_name,"address_line_2(Don't use comma(,) in any column)",City/County,State,Country,zip_code,time_zone,fax_no,link_address
46,Fording,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
47,Fording,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
48,Fording,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
49,Glengarry ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
50,Glengarry ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
51,Golden ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
52,Golden ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
53,Golden ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
54,Grupo ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
55,Grupo ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
56,Harmony ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
57,Harmony ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
58,Harmony ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
59,Highwood ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
60,Highwood ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
61,Hilton ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
62,Hilton ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
63,Hilton ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
64,Indigo ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
65,Indigo ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
66,Intasys ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
67,Intasys ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
68,Intasys  ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
69,Intrawest ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
70,Intrawest ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
71,Itemus ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
72,Itemus ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
73,Itemus ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
74,Kappa ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
75,Kappa ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
76,Kingsway ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
77,Kingsway ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
78,Kingsway ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
79,Korea ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
80,Korea ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
81,Leader ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
82,Leader ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
83,Leader ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
84,Logitech ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
85,Logitech ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
86,Merant ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
87,Merant ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
88,Merant ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
89,Microcell ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
90,Microcell ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
91,Mind ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
92,Mind ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
93,Mind ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
94,Moore ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
95,Moore ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
96,Nexen ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
97,Nexen ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
98,Nexen ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
99,Nokia ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
100,Nokia ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
101,Nortran ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
102,Nortran ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
103,Nortran ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
104,Nymox ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
105,Nymox ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
106,Optimal ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
107,Optimal ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
108,Optimal ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
109,Pacific ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
110,Pacific ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
111,Peace ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
112,Peace ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
