No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone
10,hellatees,https://hellatees.com,4086202124;4082706124,Landline;Mobile,info@hellatees.com,Work,,,Screen Printing;Embroidery,,Mr.,Aj,Floro,,Owner,,,aj@hellatees.com,Work;Home,2200,Eastridge Loop,suite 1027,San Jose,CA,USA,95122,PST
11,Silicon Valley Apparel Printing,http://siliconvalley-apparel-printing.catalogwearables.com,4088332575;4083353282,Landline;Mobile,info@svap.co,Work,,,,,Mr.,Primitivo,,,Owner,,,primo@svap.co,Work,320,Turtle Creek Ct,ste f,San Jose,CA,USA,95125,PST
12,Eminence Fronts,https://www.efgshirts.com/,4082959385;4082653204;2092391756;4089205000;4083782231;4083791856,Landline;Mobile,a.dominic@efgshirts.com;efgshirts@sbcglobal.net;info@efgshirts.com,Work;Other,4082957160,,Screen Printing,,Mr.,Dominic A,Asciutto,https://www.linkedin.com/in/dominic-asciutto-188b1339/,Owner,4086233202;4087287497;6193791856,,,,115,Phelan Ave # 9,,San Jose,CA,USA,95112,PST
13,Shock N Awe Prints,http://shocknaweprints.com,4084401773;4082184647;6692001526,Landline,info@shocknaweprints.com,Work,,,Graphic Design;Screen Printing;Embroidery,,Mr.,Matthew,Gallop,https://www.linkedin.com/in/matthewgallop/,Owner,,,,,394,Umbarger Rd,unit d,San Jose,CA,USA,95111,PST
,Shock N Awe Prints,,,,,,,,,,,Shelly,,,,,,shelly@shocknaweprints.com,Work,,,,,,,,
14,Paniolo Printing & Design,https://www.panioloprinting.com/,6506877169,Landline,promosales@panioloprinting.com,Work,,,Screen Printing;Embroidery,,Mr.,Seth,Peralta,,Owner,,,seth@panioloprinting.com,Work,530,Lytton Ave FL 2,,Palo Alto,CA,USA,94301,PST
15,Pelican Print Shop,http://pelicanprintshop.com,4159268927;4159403074,Landline;Mobile,info@pelicanprintshop.com,Work,,,Graphic Design;Screen Printing;Embroidery,,Mr.,Marcos,Peralta,,,,,,,,,,,,,,
,Pelican Print Shop,,,,,,,,,,Mr.,Dave,Phillips,,,,,dave@pelicanprintshop.com,Work;Home,569,Terry A Francois Blvd.,Suite 121,San Francisco,CA,USA,94158,PST
16,PRO-IMAGE SPORTSWEAR,http://www.pro-image.us,9252525062,Landline,info@pro-image.us,Work,,,Screen Printing;Embroidery,,Mr.,Michelle,Evanson,https://www.linkedin.com/in/michelle-evanson-20146323/,OWNER,,,michelle@pro-image.us,,325,Town Centre Terrace Suite I,,Brentwood,CA,USA,94513,PST
,PRO-IMAGE SPORTSWEAR,,,,,,,,,,Mr.,Thomas,E. Evanson,https://www.linkedin.com/in/thomas-e-evanson-b9185658/,Director Of Sales Marketing,,,tom@pro-image.us,,,,,,,,,
17,Graphic Facts,http://www.graphicfacts.com/,4154856040;4152263650;7079403838,,info@graphicfacts.com,Work,4154855684,,ScreenPrinting;GraphicDesign,,Mr.,Mick,Laska,,Owner,,,mick@graphicfacts.com,Work,625,Du Bois St Suite D,,San Rafael,CA,USA,94901,PST
18,Thread Monster Printing,http://www.threadmp.com,9253380618,,,Work,,,,,Mr.,Josh,Keane,https://www.linkedin.com/in/josh-keane-b89120161/,Principal,,,Josh@threadmp.com,,1474,Wharton Way,,Concord,CA,USA,94521,PST
19,Peoples Choice Printing,http://www.peopleschoiceprinting.com/,5103026650,,info@peopleschoiceprinting,Work,5103026656,,CUSTOM SCREEN PRINTING;EMBROIDERY,,Mr.,Malik,Cooper,,Owner,,,malik@peopleschoiceprinting.com,Work;Home,1525,Webster St,,Oakland,CA,USA,94612,PST
,Peoples Choice Printing,,,,,,,,,,Mr.,Sam,Reader,,Partner,,,samwize22@gmail.com,,,,,,,,,
20,California Sport Design,http://calsportdesign.com,4085591888;4083713949,,Requests@calsportdesign.com;support@calsportdesign.com,Work,,,Screen Printing;Embroidery,,Mr.,Scott,Ito,,Principle,,,scott@calsportdesign.com,Work;Home,2878,S Bascom Ave,,S Bascom Ave,CA,USA,95124,PST
21,San Jose Screen Printing,http://sanjosescreenprinting.com,4086930869,Landline,sales@sanjosescreenprinting.com,Work,,,Screen Printing;Embroidery;Promotional Product,,Mr.,Dean,W,,Owner,,,,,364,Avenida Palmas,,San Jose,CA,USA,95123,PST
22,Mojo Magic,http://www.mojomagic.net,4088356189;8888436656,Landline;Mobile,mdickerson@mojomagic.net;m.dickerson@mojomagic.net;mojo@mojomagic.net;art@mojomagic.com;admin@mojomagic.net,Work;Other,6096953532,,Screen Printing;Embroidery;Promotional Product,,Mr.,Mark,Dickerson,,Owner,,,mark@mojomagic.net,Work;Home,6172,Bollinger Rd #189,,San Jose,CA,USA,95129,PST
23,King's Embroidery,http://www.kembroidery.com,4089781488,,info@kembroidery.com,Work,4089781489,,Screen Printing;Embroidery,,Mr.,Larry,Nardi,,Owner,,,Lnardi@kembroidery.com,Work;Home,250,Hillsdale Ave,,Hillsdale Ave,CA,USA,95136,PST
,King's Embroidery,,,,,,,,,,Mr.,Vanessa,Nguyen,,Account Executive,,,,,,,,,,,,
24,E T Sports,http://etsembroidery.com/,4082250158,Landline,info@etsports.com,Work,4082250207,,CUSTOM SCREEN PRINTING;EMBROIDERY,,Mrs.,Teresa,Gabel,,,,,,,5475,Chesbro Ave,,San Jose,CA,USA,95123,PST
25,SpeedPro East Bay,https://eastbayspeedpro.com/,5102468643;5102980699,,,Work,,,Graphics;Custom Sign,,Mr.,Edward,Owens,https://www.linkedin.com/in/edward-owens-1a1621b7/,President,,,eowens@speedpro.com,Work,1734,Clement Ave,,Alameda,CA,USA,94501,PST
,SpeedPro East Bay,,,,,,,,,,Mrs.,Carrie,Ericson,,,,,cericson@speedpro.com,Work,,,,,,,,
26,Diaz Screen Printing & Embroidery,http://www.diazscreenprinting.com,4155094901,,dspe@comcast.net;info@diazscreenprinting.com?,Work,,,Graphic Design;Screen Printing;Embroidery,,Mr.,Erwin,Mendez,https://www.linkedin.com/in/erwin-mendez-29a03257/,Manager,,,,,41,Hamilton Dr,,Novato,CA,USA,94949,PST
27,Central Valley Screen Printing,,2098581133,,,,,,,,Mr.,Tony,Estrada,,,,,,,,,,,,,,
28,Martin Sign Company,https://martinsignco.com,4155253632;4089339477,Landline,fritz.wall@gmail.com;sales@martinsignco.com,Work;Other,,,Graphic Design;Signmaking,,Mr.,Martin,Wall,,Principal,,,marty@martinsignco.com,Work,1455,Yosemite Ave,,San Francisco,CA,USA,94124,PST
29,East Bay Blue Print & Supply Co. Inc.,https://www.eastbayblueprint.com,5102612990;5104173592;5102763375,Landline;Mobile,,,5102616077,,Graphics Design;Printing Service,,Mr.,Grace,Von Quermer,,,,,ebbp@eastbayblueprint.com,Work,1745,14th Ave,,Oakland,CA,USA,94606,PST
,East Bay Blue Print & Supply Co. Inc.,,,,,,,,,,Mr.,Rick,Ananos,,,,,rick@eastbayblueprint.com,Work,,,,,,,,
,East Bay Blue Print & Supply Co. Inc.,,,,,,,,,,Mr.,Steve,,,,,,stevevq@eastbayblueprint.com,Work,,,,,,,,
,East Bay Blue Print & Supply Co. Inc.,,,,,,,,,,Mr.,Susan,Smith,https://www.linkedin.com/in/susan-smith-31696a91,General Manager,,,susan@eastbayblueprint.com,Work,,,,,,,,
,East Bay Blue Print & Supply Co. Inc.,,,,,,,,,,Mr.,Laura,Jennings,,Controller,,,laura.jennings@eastbayblueprint.com,Work,,,,,,,,
30,Darby Productions - Custom Print Shop,http://www.darbyproductions.com,2098347668;2099144001;7072351498,Landline;Mobile,art@darbyproductions.com,work,,,,,Mr.,Phil,Darby,https://www.linkedin.com/in/phildarby,Owner,,,phil@darbyproductions.com,Work,5609,1638 Springhill Ct,,Tracy,CA,USA,95377,PST
,Darby Productions - Custom Print Shop,,,,,,,,,,Mr.,Charlotte,Darby,https://www.linkedin.com/in/charlotte-darby-236165102,Co Owner,,,char@darbyproductions.com,Work,,,,,,,,
,Darby Productions - Custom Print Shop,,,,,,,,,,Mr.,Scott & Heather,Darby,https://www.linkedin.com/in/heather-n-darby-81638a10,Manager,,,cs@darbyproductions.com,Work,,,,,,,,
31,Underdog Fashion & T-Shirt Printing,https://www.underdogg.net/,9254279330,Landline,underdog925@hotmail.com;underdog2175@gmail.com;info@underdogg.net,Work,9254279315,,Screen Printing;Embroidery,,Mr.,Ronald,Hood,,Owner,,,,,2175,Loveridge Rd,,Pittsburg,CA,USA,94565,PST
,Underdog Fashion & T-Shirt Printing,,,,,,,,,,Mr.,Rick,Hill,,,,,,,,,,,,,,
32,Belleci Signs & Apparel,,9254329321,,,,,,,,Mr.,Robert,Belleci,,Owner,,,,,3721,Railroad Ave,,Pittsburg,CA,USA,94565,PST
,Belleci Signs & Apparel,,,,,,,,,,Mr.,Christina,,,,,,christina@bellecidesigns.com,,,,,,,,,
,Belleci Signs & Apparel,,,,,,,,,,Mr.,Jay,,,,,,jay@bellecidesigns.com,,,,,,,,,
,Belleci Signs & Apparel,,,,,,,,,,Mr.,Marisa,Belleci,,Chief Executive Officer,,,,,,,,,,,,
33,Bergin Screen Printing & Etching,https://www.berginglass.com,7072240111,Landline,info@berginglass.com,Other,7072244185,,SCREEN PRINT;ETCH,,Mr.,MIKE,BERGIN,https://www.linkedin.com/in/mike-bergin-7bb5545,Owner,,,Mike@berginglass.com,Work,451,Technology Way,,Napa,CA,USA,94558,PST
,Bergin Screen Printing & Etching,,,,,,,,,,Mr.,COREY,BARLOW,,,,,corey@berginglass.com,Work,,,,,,,,
,Bergin Screen Printing & Etching,,,,,,,,,,Mr.,JAY,GRIEGO,https://www.linkedin.com/in/jay-griego-a26770a1,Sales,,,jay@berginglass.com,Work,,,,,,,,
,Bergin Screen Printing & Etching,,,,,,,,,,Mr.,BRAD,CANFIELD,https://www.linkedin.com/in/brad-canfield-b7628a133,Art Director,,,brad@berginglass.com,Work,,,,,,,,
34,Amp Printing Inc,https://www.ampprinting.com/,9255569000,Landline,sales@ampprinting.com,Work,9255569101,,Printing service,,,Tami,Noland,https://www.linkedin.com/in/tami-noland-4873842,Vice President,,,tamin@ampprinting.com,Work,6955,Sierra Ct,,Dublin,CA,USA,94568,PST
,Amp Printing Inc,,,,,,,,,,Mr.,Bob,Trimble,,,,,bobt@ampprinting.com,Work,,,,,,,,
,Amp Printing Inc,,,,,,,,,,Mr.,Joe,Balsama,,,,,joeb@ampprinting.com,Work,,,,,,,,
35,A-Game Screen Printing,https://www.agamescreenprinting.com/,4086809866,Landline,artwork@agamescreenprinting.com,Other,,,Screen Printing,,Mr.,Ernie,Evans,https://www.linkedin.com/in/ernie-evans-b1148b151,Owner,,,ernie@agamescreenprinting.com,Work,1805,Little Orchard St STE 131,,San Jose,CA,USA,95125,PST
36,In Motion,http://www.inmotion-ca.com,7079380277,Landline,artwork@inmotion-ca.com,Other,7079399546,,Screen Printing;Embroidery,,Mr.,Doug,Scott,,,,,doug@inmotion-ca.com,Work,28913,Arnold Dr,,Sonoma,CA,USA,95476,PST
,In Motion,,,,,,,,,,Mr.,Nick,Castro,,,,,nickcastro@inmotion-ca.com,Work,,,,,,,,
,In Motion,,,,,,,,,,Mrs.,Norma,Rosas,,,,,norma@inmotion-ca.com,Work,,,,,,,,
,In Motion,,,,,,,,,,Mr.,Mike,Fellows,,President,,,mike@inmotion-ca.com,Work,,,,,,,,
,In Motion,,,,,,,,,,Mrs.,Patty,Gustafson,,,,,patty@inmotion-ca.com,Work,,,,,,,,
37,Brentwood Embroidery & Screen Printing,http://www.gotstitches.com,9256345268,Mobile,info@gotstitches.com;admin@gotstitches.com;sales@gotstitches.com,Work,9256844320,,Screen Printing;Embroidery,,Mr.,Mike C.,,,,,,Mike@gotstitches.com,Work,410,Beatrice Ct SUITE E,,Brentwood,CA,USA,94513,PST
38,Deluxe Screen Printing Inc.,https://deluxescreenprinting.net,2137650838,Landline,deluxe@deluxescreenprinting.net,Work,,,Screen Printing;Embroidery,,Mr.,Elsie,Acevedo,https://www.linkedin.com/in/elsie-acevedo-526b732b,Owner,,,elsie@deluxescreenprinting.net,,1358,E 15th St,,Los Angeles,CA,USA,90021,PST
,Deluxe Screen Printing Inc.,,,,,,,,,,Mrs.,Liza,D'Agostino,,,,,liza@deluxescreenprinting.net,,,,,,,,,
39,JB's Awards & Custom Apparel,https://jbawards.com,2092231353,Landline,jbcoffee@cdepot.net;aaron@jbawards.net;help@jbawards.net,Work,2092231353,,,,Mr.,Sharon,Cassella,,,,,sharon-cassella@jbawards.net,Work,170,Main St,,Jackson,CA,USA,95642,PST
40,Apparel Graphics,http://www.apparelgraphics.com/,2098475130,Landline,sales@apparelgraphics.com,Work,8582783152,,,,Mr.,Jason,Turnage,,Partner,,,jason@apparelgraphics.com;jason@hrapparelgraphics.com,Work;Home,1858,Ackley Cir #1b,,Oakdale,CA,USA,95361,PST
41,Pegasus Products Group,http://www.pegasusco.com,6509652576,Mobile,pegasus@pegasusmail.com,Work,6509652576,,ScreenPrinting;GraphicDesign,,Mr.,Ronald,Carrie,,Owner,,,,,922,San leandro St f,,Mountain View,CA,USA,94043,PST
,Pegasus Products Group,,,,,,,,,,Mrs.,Mary,Carrie,,Treasurer,,,,,,,,,,,,
42,PDQ Promotions Printing & Embroidery,http://www.pdqpromoprint.com/,2098304413;9252151613;5108683346,Landline;Mobile,orders@pdqpromoprint.com;support@pdqpromoprint.com,Work,,,,,Mr.,Karen,Diaz,,Principal,,,karen@pdqpromoprint.com,,163,W 11th St,,Tracy,CA,USA,95376,PST
43,Elite T Shirt Printing,https://elitetshirtprinting.com/,2092291676,Landline,larry@elitetshirtprinting.com,Work,,,Screen Printing;Embroidery,,Mrs.,Larry,Duarte,https://www.linkedin.com/in/larry-duarte-99171465,Owner,,,,,1764,W Larch Rd,,Tracy,CA,USA,95377,PST
44,Make It Mine,http://www.mimembroidery.com,4087760556;4087782239;4087782332,Landline;Mobile,admin@mimembroidery.com;mim@garlic.com,,,,Screen Printing;Embroidery,,Mr.,Barbara a,Conroy,,Owner,,,,,101,W Main Ave,,Morgan Hill,CA,USA,95037,PST
,Make It Mine,,,,,,,,,,Mr.,Wayne,Conroy,,Co-Owner,,,wayne_conroy@mimembroidery.com;w.conroy@mimembroidery.com,Work,,,,,,,,
45,H F Screen Printing,https://www.hfscreenprinting.com,5105860312,Landline,info@hfscreenprinting.com,,5105860312,,Screen Printing,,Mr.,Yasir,Mahmood,,,,,,,46,W Tennyson Rd,,Hayward,CA,USA,94544,PST
46,Wolf Finishing,https://www.wfinishing.com,4082934387,Landline,,,4082936019,,Screen Printing,,Mr.,Jorge,Fernandez,,Principal,,,jorge@wfinishing.com,Work,1718,Stone Ave,,San Jose,CA,USA,95125,PST
,Wolf Finishing,,,,,,,,,,Mr.,Carlos,Fernandez,,,,,,,,,,,,,,
47,HI-NRG,http://www.laketahoescreenprinting.com/,5305731603,Landline,sales@laketahoescreenprinting.com;art@laketahoescreenprinting.com,,5305731603,,Screen Printing;Embroidery,,Mr.,Justin,Befu,,Owner,,,justin@laketahoescreenprinting.com,,1057,Elmwood Dr,,South Lake Tahoe,CA,USA,96150,PST
,HI-NRG,,,,,,,,,,,Pat,Chandler,,Partner,,,,,,,,,,,,
,HI-NRG,,,,,,,,,,,Canyon,Florey,,Art Director,,,,,,,,,,,,
48,RISE Designs,https://www.risegraphics.com,5302080565,Landline,info@risegraphics.com,,5302080565,,ScreenPrinting;GraphicDesign,,Mr.,Marley,Reel,,Owner,,,,,2227,James Ave,,South Lake Tahoe,CA,USA,96150,PST
49,Dollar Signs and Graphics,http://www.dollardesigns.net,5305447058;7759011005,Mobile,sales@dollardesigns.net;sales@alpinecomputers.us,Work,5305442891,,Screen Printing;Embroidery;Promotional Product,,,Yan,Campbell,,Owner,,,,,2717,Lake Tahoe Blvd #4,,South Lake Tahoe,CA,USA,96150,PST
50,Black Diamond Graphics,https://www.blackdiamondgraphics.com,2092937969,Landline,blackdiamond@volcano.net,Work;Other,,,,,Mr.,Michael J,Bowsher,,,,,,,,,,,,,,
,Black Diamond Graphics,,,,,,,,,,Mr.,Karan,Bowsher,,Owner,,,,,99,Bald Mountain Rd,,West Point,CA,USA,95255,PST
51,Up Shirt Creek,http://www.tahoeupshirtcreek.com/,5305420982;5305424227,Landline;Mobile,info@tahoeupshirtcreek.com,,,,,,Mr.,James,Bradford,,,,,,,1001,Heavenly Village Way,,,CA,USA,96150,PST
52,Block Alternatives,http://blockalternatives.com,6617293443,Landline,blockalternatives@gmail.com;block.sales@verizon.net,Work,6617292119,,,,Mr.,Rich,Bartlett,,Owner,,,richard.bartlett@blockalternatives.com,Work,124,E Avenue K 8 #105,,Lancaster,CA,USA,93535,PST
53,Sam's Silk Screening,http://samssilkscreening.com,6619474531,Landline,artwork@samsss.com,Work,,,Graphic Design;Screen Printing;Embroidery,,Mr.,Samuel,Roman,,Principal,,,sam@samssilkscreening.com,Work,39360,3rd St E,,Palmdale,CA,USA,93550,PST
54,CP CustomPrints,https://www.cpcustomprints.com/,9095828526,Mobile,info@cpcustomprints.com,Work,9095828526,,Promotional Product;Printing;Logo,,Mr.,Kyle W.,,,owner,,,,,10134,6th St suite g,,Rancho Cucamonga,CA,USA,91730,PST
55,M & K Screen Printing Inc,,8185064250,Landline;Mobile,mnkadv08@yahoo.com,Work,,,Screen Printing,,Mr.,Surama,Juarez,,Principal,,,,,4091,10644 1/2 W Magnolia Blvd,,North Hollywood,CA,USA,91601,PST
56,New Way Silk Screen Printing,,3239346462,Landline,nwprinting@gmail.com,Work,3239547413,,Screen Printing;Embroidery,,Mr.,David,Pohar,,Owner,,,,,6011,W Olympic Blvd,,Los Angeles,CA,USA,90036,PST
57,Lucky Devil Screenprint,https://www.ldscreenprint.com,7149902237,MobileS,Info@ldscreenprint.com,Work,7149903277,,Screen Printing,,Mr.,Timothy J.,Worcester,,Manager,,,tim@ldscreenprint.com,Work,421,Atlas St,,Brea,CA,USA,92821,PST
58,Action Screen Printing,https://actionscreenprinting.org,9515499393,Mobile,asp96@yahoo.com;info@actionscreenprintingsite.com,Work;Other,9515499394,,Screen Printing;Embroidery,,Mr.,James,Williams,,Owner,,,james_williams@actionscreenprinting.com,Work,3709,Valley View Ave,,Norco,CA,USA,92860,PST
59,Burly Custom Screen Printing,https://www.burlycustomscreenprinting.com,5628684605,Landline,,,,,,,Mr.,Steve,Chavez,,,,,steveburly@gmail.com,Work,12123,Firestone Blvd,,Norwalk,CA,USA,90650,PST
,Burly Custom Screen Printing,,,,,,,,,,Mr.,Kevin,Joseph,,Owner,,,,,,,,,,,,
60,T&C Signs,https://www.tandcsigns.com/,2095320333,Landline,info@tandcsigns.com;embroidery@tandcsigns.com,,,,Graphic Design;Screen Printing;Embroidery,,Mr.,Todd,Jaggers,,Owner,,,todd@tandcsigns.com,Work,16048,Via Este Rd,,Sonora,CA,USA,95370,PST
61,Mags Bags,,2095332283,,dthomas@magsbags.com;info@magsbags.com,Work;Other,,,,,Mr.,Margaret,Thomas,,Owner,,,,,20234,Phoenix Lake Rd,,Sonora,CA,USA,95370,PST
62,QuickDraw Custom Screen Printing,https://www.quickdraw1.com,3104776770;8008489427,Landline,sales@quickdraw1.com,Work,3104776760,,Graphic Design;Screen Printing;Embroidery,,Mr.,David,Anderson,,Owner,,,,,2244,Federal Ave,,Los Angeles,CA,USA,90064,PST
,QuickDraw Custom Screen Printing,,,,,,,,,,Mr.,Ken,Anderson,,President,,,,,,,,,,,,
63,CEO Tees,https://www.ceotees.com/,8188774044,Mobile,store@ceotees.com,Work,,,Screen Printing,,Mr.,Brad,,,President,,,Brad@ceotees.com,Work,18314,W Oxnard St #5,,Tarzana,CA,USA,91356,PST
64,Technical Screen Printing,http://www.technicalscreenprinting.com/,,,info@technicalscreenprinting.com,Work,,,Screen Printing,,,Robert,Golino,,President,,,,,677,N Hariton St,,Orange,CA,USA,92868,PST
65,Calaveras Customs,,2097361277,Landline,CalaverasCustoms@att.net,Work,,,Graphic Design;Signs;banner service,,,Christian,Harwell,,Owner,,,,,1277,S Main St,,Angels Camp,CA,USA,95222,PST
66,Oakdale T-Shirt Factory,http://www.companycasuals.com/oakdaletshirtfactory,2093427007;2098458049,Landline;Mobile,graph1art@aol.com,Work,,,,,Mr.,Lorraine,Dalindez,,,,,,,441,4th Ave suite a,,Oakdale,CA,USA,95361,PST
67,Gateway Press Inc.,https://www.gatewaypress.net/,2097282368;8584954114,Landline;Mobile,art@gatewaypress.net,Work,2693818770;2097281295,,Graphic designer; banner service,,Mr.,Walt,Markus,,Owner,,,walt@gatewaypress.net,Work,772,Murphys Creek Rd,,Murphys,CA,USA,95247,PST
68,Hometeam Screenprinting & Embroidery,http://www.hometeamscreenprinting.com/,2093273555,Landline,,,,,,,Mr.,John,Sauseda,,Principal,,,john@hometeamscreenprinting.com,Work,,Home Business,,Lodi,CA,USA,95247,PST
69,All Sports-Terrys Screen Print,http://companycasuals.com/allsports,2093394204,Landline,allsports57@att.net,Work,2093394147,,,,Mr.,Terry,Bellamy,,Member,,,terrybellamy@yahoo.com,Work,2370,Maggio Cir # 16,,Lodi,CA,USA,95240,PST
70,Jason's Mobile Decal Screen Printing And Embroidery,http://www.jmdmodesto.com/,2094920127,Landline,info@jmdmodesto.com,Work,2095797449,,Screen Printing;Embroidery,,Mr.,Jason E.,Wright,,Partner,,,jasonsmobiledecal@gmail.com,Work,5700,Meyer Dr,,Modesto,CA,USA,95356,PST
71,Lustre-Cal Nameplate Corporation,https://www.lustrecal.com,2093701600;8777057117,Landline;Mobile,info@lustrecal.com,Work,2093701690,,,,Mr.,Dave,Kinsey,,,,,jhohenrieder@lustrecal.com,,715,S Guild Ave,,Lodi,CA,USA,95240,PST
72,Shirt World,http://shirtworldusa.com,2095781070,Landline,shirtworldusa@yahoo.com,Work,2095781227,,Screen Printing;Embroidery,,Mr.,Steve,Whiteaker,,Owner,,,,,4620,N Star Way,,Modesto,CA,USA,95356,PST
73,Bischoff Custom Design,https://bischoffcustom.com/,2095515455,Landline,bischoffcustom@gmail.com,Other,,,ScreenPrinting;GraphicDesign,,Mr.,Deborah,Bischoff,,Owner,,,,,4620,N Star Way,,Modesto,CA,USA,95357,PST
74,Landd Special T's,http://www.landdspecialts.com/,2093698832,Landline,sales@landdspecialts.com,Work,,,Screen Printing;Embroidery;Promotional Product,,Mr.,Dale,Reasor,,Owner,,,dale@landdspecialts.com,Work,16,W Oak St,,Lodi,CA,USA,95240,PST
75,Galt Sign & Screenprinting Inc.,http://galtsign.com,2097456763,Landline,galtsign@gmail.com,Other,,,Screen Printing,,Mr.,Christen,Newell,,Owner,,,,,521,C St #1926,,Galt,CA,USA,95632,PST
76,Elk Grove Screen Printing,,9166819448,Landline;Mobile,,,,,Screen Printing;Embroidery,,Mr.,Dennis,Luke,,Principal,,,,,9090,Union Park Way #106,,Elk Grove,CA,USA,95624,PST
77,Abracadabra Instant Signs,,2094742425,Landline,abracadabraent@sbcglobal.net,Other,2094741053,,,,Mr.,Jerry,Homes,,Owner,,,jerry.holmes@abracadabrainstantsigns.com,Work,2583,Waterloo Rd,,Stockton,CA,USA,95205,PST
78,Kreative Design / Marketing,https://www.getkdm.com,9162265282,Landline;Mobile,estimate@getkdm.com,Work,,,Screen Printing;Graphic Designer;Promotional Product,,Mrs.,Krista,G.,,Owner,,,krista@getkdm.com,Work,9089,Elk Grove Blvd Suite 203,,Elk Grove,CA,USA,95624,PST
79,Dynamic Designs Screen Ptg,http://www.dynamicdesignsscreenprinting.com/,5306224354,Landline;Mobile,dynamicdesigns2@att.net,Other,,,Graphic design;Screen Printing;Logo,,Mr.,Darlene,E. Phillis,,Principal,,,,,484,Pleasant Valley Rd #10,,Pleasant Valley Rd #10,CA,USA,95619,PST
80,KC Design Screen Printing and Embroidery,http://www.kcdesign.info/,9169138085,Landline;Mobile,,,,,Screen Printing;Embroidery;Custom Design,,Mr.,Kenneth,R. Chavez,,Owner,,,ken@kcdesign.info,Work,9061,Glenbury Ct,,Elk Grove,CA,USA,95624,PST
81,Not Just a T-Shirt,,5308708411;5307887470;5308700411,Landline;Mobile,,,,,Screen Printing,,Mr.,Troy,T Ivie,,Owner,,,notjustatshirt@yahoo.com,Work;Home,2351,Butte House Rd,,Yuba City,CA,USA,95993,PST
